iter	Passed	Remaining
408	5200	7515
409	5214	7504
410	5226	7490
411	5238	7476
412	5251	7463
413	5263	7449
414	5276	7438
415	5289	7424
416	5301	7412
417	5314	7399
418	5326	7385
419	5339	7373
420	5351	7359
421	5362	7345
422	5375	7332
423	5388	7320
424	5401	7307
425	5414	7295
426	5425	7280
427	5437	7267
428	5449	7253
429	5462	7240
430	5474	7227
431	5486	7213
432	5498	7200
433	5510	7186
434	5522	7173
435	5535	7160
436	5547	7147
437	5560	7134
438	5572	7121
439	5586	7109
440	5598	7096
441	5612	7085
442	5624	7071
443	5636	7058
444	5647	7043
445	5661	7031
446	5672	7017
447	5685	7004
448	5697	6992
449	5710	6979
450	5723	6967
451	5736	6954
452	5749	6942
453	5761	6928
454	5774	6916
455	5786	6903
456	5800	6891
457	5811	6877
458	5823	6863
459	5835	6849
460	5847	6836
461	5859	6823
462	5871	6810
463	5883	6797
464	5896	6783
465	5908	6770
466	5920	6757
467	5932	6743
468	5944	6730
469	5957	6717
470	5969	6704
471	5982	6692
472	5995	6679
473	6007	6666
474	6019	6653
475	6031	6639
476	6043	6626
477	6056	6613
478	6068	6600
479	6080	6586
480	6091	6572
481	6103	6559
482	6115	6545
483	6128	6533
484	6140	6520
485	6153	6508
486	6165	6495
487	6177	6481
488	6189	6468
489	6202	6455
490	6214	6441
491	6226	6429
492	6238	6415
493	6250	6402
494	6263	6389
495	6275	6376
496	6288	6364
497	6301	6351
498	6312	6338
499	6326	6326
500	6339	6313
501	6351	6300
502	6364	6288
503	6377	6275
504	6389	6263
505	6401	6249
506	6413	6236
507	6425	6223
508	6439	6211
509	6451	6198
510	6463	6184
511	6474	6171
512	6486	6158
513	6499	6145
514	6511	6132
515	6523	6118
516	6535	6106
517	6547	6092
518	6560	6079
519	6571	6066
520	6584	6053
521	6597	6040
522	6609	6027
523	6621	6015
524	6634	6002
525	6647	5990
526	6659	5977
527	6672	5964
528	6685	5952
529	6696	5938
530	6709	5926
531	6721	5912
532	6734	5900
533	6746	5887
534	6759	5875
535	6770	5860
536	6783	5848
537	6794	5834
538	6807	5821
539	6818	5808
540	6831	5795
541	6844	5783
542	6857	5771
543	6868	5757
544	6880	5744
545	6893	5732
546	6906	5719
547	6918	5706
548	6930	5693
549	6943	5680
550	6955	5667
551	6967	5655
552	6979	5641
553	6991	5628
554	7004	5616
555	7017	5603
556	7029	5591
557	7042	5578
558	7055	5565
559	7066	5552
560	7079	5539
561	7091	5526
562	7103	5513
563	7115	5500
564	7127	5487
565	7138	5473
566	7151	5461
567	7163	5448
568	7176	5435
569	7187	5421
570	7199	5409
571	7211	5395
572	7223	5383
573	7236	5370
574	7247	5357
575	7260	5344
576	7273	5331
577	7285	5318
578	7297	5306
579	7309	5292
580	7321	5279
581	7333	5266
582	7344	5253
