iter	Recall	Logloss
0	0.4232522796	0.6868374274
1	0.4403495441	0.6808315172
2	0.4319908815	0.6748318249
3	0.4177431611	0.6697378758
4	0.4329407295	0.6641213609
5	0.4513677812	0.6588141884
6	0.4574468085	0.6536642707
7	0.4479483283	0.6488540141
8	0.4414893617	0.6446602638
9	0.4462386018	0.6403122084
10	0.4487082067	0.6361096431
11	0.4485182371	0.632063844
12	0.4481382979	0.628177957
13	0.4460486322	0.6247099709
14	0.4445288754	0.6214905508
15	0.4471884498	0.6179602022
16	0.444718845	0.6148912376
17	0.4481382979	0.6117019511
18	0.4471884498	0.6089319167
19	0.4462386018	0.6061015247
20	0.4477583587	0.6032324732
21	0.4473784195	0.6006812183
22	0.4454787234	0.5982699665
23	0.4464285714	0.5959663545
24	0.4477583587	0.5935723426
25	0.4481382979	0.5911617301
26	0.4483282675	0.589264328
27	0.4494680851	0.5871071911
28	0.4488981763	0.5851449262
29	0.4485182371	0.5833456227
30	0.4494680851	0.5813460664
31	0.4492781155	0.579568391
32	0.4485182371	0.5778894451
33	0.4464285714	0.5766589959
34	0.4468085106	0.5751192508
35	0.4469984802	0.573634345
36	0.446618541	0.5723602377
37	0.4475683891	0.5709089432
38	0.4475683891	0.569654092
39	0.4464285714	0.5684087267
40	0.4468085106	0.5671134549
41	0.4458586626	0.5660794985
42	0.4464285714	0.5648457018
43	0.4454787234	0.5638504044
44	0.4468085106	0.562749262
45	0.4458586626	0.5618213946
46	0.4458586626	0.5608839624
47	0.4460486322	0.5599518466
48	0.446618541	0.5588768747
49	0.4464285714	0.5578803122
50	0.4464285714	0.5569344921
51	0.4469984802	0.5559408254
52	0.4471884498	0.5551132112
53	0.4464285714	0.5543394324
54	0.4479483283	0.5535325642
55	0.4485182371	0.5526600137
56	0.4481382979	0.5519108804
57	0.4492781155	0.5512238532
58	0.4504179331	0.550462062
59	0.4515577508	0.5497258073
60	0.4511778116	0.5490361944
61	0.4511778116	0.5484358343
62	0.4523176292	0.5477804953
63	0.4525075988	0.5471132067
64	0.4532674772	0.5464638315
65	0.4544072948	0.5458702567
66	0.4559270517	0.5452955298
67	0.4559270517	0.5448147056
68	0.4561170213	0.5443802232
69	0.4557370821	0.5439182537
70	0.4559270517	0.543444458
71	0.4557370821	0.5429624664
72	0.4553571429	0.5424926491
73	0.4564969605	0.5419522471
74	0.4572568389	0.5414160663
75	0.4587765957	0.5408928369
76	0.4585866261	0.5404025127
77	0.4597264438	0.539943643
78	0.4618161094	0.5394623866
79	0.4625759878	0.5390647885
80	0.4623860182	0.5386804983
81	0.4625759878	0.5382864069
82	0.4639057751	0.537907291
83	0.4654255319	0.5376213444
84	0.4656155015	0.5372423708
85	0.4658054711	0.5368072194
86	0.4659954407	0.536465266
87	0.4667553191	0.5361056507
88	0.4663753799	0.5358123906
89	0.467325228	0.5354112579
90	0.4671352584	0.5350631441
91	0.467325228	0.5346594749
92	0.4677051672	0.5342641265
93	0.4684650456	0.5338988141
94	0.4697948328	0.5335746449
95	0.4690349544	0.5331849615
96	0.470174772	0.5328482819
97	0.4694148936	0.5326310655
98	0.469224924	0.5323468406
99	0.4694148936	0.5322020956
100	0.470174772	0.5318865533
101	0.4707446809	0.531628421
102	0.4703647416	0.531334934
103	0.4709346505	0.5309902139
104	0.4713145897	0.5307129788
105	0.4716945289	0.5304580645
106	0.4718844985	0.5301609595
107	0.4724544073	0.5299417173
108	0.4732142857	0.5296664979
109	0.4743541033	0.5294024542
110	0.4737841945	0.5291854811
111	0.4745440729	0.5288453437
112	0.4751139818	0.5285463704
113	0.475493921	0.5284093003
114	0.4758738602	0.5282294907
115	0.476443769	0.527973847
116	0.4770136778	0.5276923688
117	0.4770136778	0.527481312
118	0.4770136778	0.5272753173
119	0.4772036474	0.5270599451
120	0.4775835866	0.5268392787
121	0.4770136778	0.5266519909
122	0.4775835866	0.5264008743
123	0.4779635258	0.5261818789
124	0.4785334347	0.5259992436
125	0.4785334347	0.5258342294
126	0.4789133739	0.5255800896
127	0.4792933131	0.5253847194
128	0.4791033435	0.5251008922
129	0.4794832827	0.5249339014
130	0.4792933131	0.5247290363
131	0.4804331307	0.5245237564
132	0.4806231003	0.524365987
133	0.4817629179	0.5241276779
134	0.4819528875	0.5239407801
135	0.4821428571	0.5237099046
136	0.4823328267	0.5234584704
137	0.4825227964	0.5232853469
138	0.482712766	0.5230530162
139	0.483662614	0.5228697648
140	0.484612462	0.5226519123
141	0.4851823708	0.5224815458
142	0.4848024316	0.5223590542
143	0.484612462	0.522214279
144	0.4849924012	0.5220713428
145	0.4851823708	0.5218637645
146	0.4849924012	0.5216101158
147	0.4851823708	0.5214271575
148	0.4853723404	0.521301094
149	0.4863221884	0.5211308718
150	0.4874620061	0.520936407
151	0.4884118541	0.5207396998
152	0.4886018237	0.5206031249
153	0.4882218845	0.5205136256
154	0.4889817629	0.520372975
155	0.4889817629	0.5201922465
156	0.4895516717	0.5200120128
157	0.4889817629	0.5198423894
158	0.4889817629	0.5197410633
159	0.4891717325	0.5195679996
160	0.4893617021	0.5193926523
161	0.4899316109	0.5192323802
162	0.4914513678	0.5190643688
163	0.4922112462	0.5188588522
164	0.4925911854	0.5187499997
165	0.492781155	0.518614622
166	0.492781155	0.5184710763
167	0.4933510638	0.5182766397
168	0.4939209726	0.5181525955
169	0.4943009119	0.5179747868
170	0.4944908815	0.5177824256
171	0.4948708207	0.5175962418
172	0.4950607903	0.5174421757
173	0.4958206687	0.5172383823
174	0.4958206687	0.5170882416
175	0.4967705167	0.5169604413
176	0.4969604863	0.5168183944
177	0.4967705167	0.5166990951
178	0.4969604863	0.5165684734
179	0.4979103343	0.5163994673
180	0.4979103343	0.5162632565
181	0.4977203647	0.5160882378
182	0.4986702128	0.5159175076
183	0.498100304	0.5157664564
184	0.4984802432	0.5156338755
185	0.499050152	0.5155192969
186	0.4986702128	0.5153554645
187	0.4984802432	0.5152053486
188	0.4988601824	0.5151034176
189	0.4994300912	0.5149588714
190	0.4994300912	0.5148578593
191	0.4992401216	0.5147150916
192	0.499050152	0.5146211444
193	0.4994300912	0.5145135134
194	0.4996200608	0.5144042747
195	0.4996200608	0.514294962
196	0.5001899696	0.5141710779
197	0.5001899696	0.5140472806
198	0.5005699088	0.513865176
199	0.5013297872	0.5137091832
200	0.5015197568	0.5136102989
201	0.5015197568	0.513457097
202	0.5020896657	0.5133683578
203	0.5028495441	0.5132348941
204	0.5032294833	0.5131123032
205	0.5022796353	0.5129617942
206	0.5030395137	0.5128418918
207	0.5028495441	0.5126947672
208	0.5028495441	0.5125324543
209	0.5028495441	0.5124130666
210	0.5030395137	0.5122780715
211	0.5036094225	0.5121504313
212	0.5039893617	0.512001439
213	0.5036094225	0.5118500374
214	0.5039893617	0.5116647746
215	0.5043693009	0.511541964
216	0.5045592705	0.5114446556
217	0.5049392097	0.5113061189
218	0.5047492401	0.5112072829
219	0.5049392097	0.5110964377
220	0.5049392097	0.5109419457
221	0.5049392097	0.5108558891
222	0.5045592705	0.5107258783
223	0.5055091185	0.51061715
224	0.5056990881	0.5104867752
225	0.5056990881	0.5103941487
226	0.506268997	0.5102643418
227	0.5060790274	0.5101339798
228	0.5064589666	0.5099986103
229	0.5066489362	0.509857053
230	0.5066489362	0.5097706123
231	0.507218845	0.5096683296
232	0.5075987842	0.5095346108
233	0.5075987842	0.5094630898
234	0.5083586626	0.5093879689
235	0.5079787234	0.5092998971
236	0.5083586626	0.509236176
237	0.5079787234	0.5091464292
238	0.5083586626	0.5090784498
239	0.5085486322	0.508905474
240	0.5087386018	0.5087743271
241	0.5083586626	0.5086231117
242	0.5083586626	0.5085604125
243	0.508168693	0.5084608021
244	0.508168693	0.5083643821
245	0.5079787234	0.5082972947
246	0.5079787234	0.5081633929
247	0.5089285714	0.5080169491
248	0.5089285714	0.5079203385
249	0.5093085106	0.5078527559
250	0.5096884498	0.5077803323
251	0.5100683891	0.5076438778
252	0.5098784195	0.5075511182
253	0.5102583587	0.5074418809
254	0.5102583587	0.5073325707
255	0.5104483283	0.507226641
256	0.5100683891	0.5071303432
257	0.5098784195	0.5070535041
258	0.5104483283	0.5068955614
259	0.5104483283	0.5068189783
260	0.5106382979	0.5067566261
261	0.5110182371	0.5066963027
262	0.5108282675	0.5066345814
263	0.5110182371	0.5065925771
264	0.5113981763	0.5064811791
265	0.5112082067	0.5063474903
266	0.5123480243	0.5062509268
267	0.5131079027	0.5060765483
268	0.5131079027	0.5059597103
269	0.5136778116	0.5058602698
270	0.5131079027	0.5057242954
271	0.5131079027	0.5056608642
272	0.5132978723	0.5056123764
273	0.5134878419	0.5055159649
274	0.5132978723	0.5053546688
275	0.5140577508	0.5052261691
276	0.5142477204	0.5051492212
277	0.51443769	0.5050590335
278	0.5148176292	0.5049804667
279	0.5146276596	0.5048792478
280	0.5148176292	0.5048278918
281	0.5148176292	0.5047523892
282	0.5157674772	0.5046507465
283	0.5151975684	0.5045863322
284	0.515387538	0.5045262486
285	0.5155775076	0.5044439502
286	0.5155775076	0.5043106112
287	0.5155775076	0.5042044298
288	0.5157674772	0.5040594221
289	0.5161474164	0.5040054784
290	0.5165273556	0.5039287542
291	0.5169072948	0.5037980401
292	0.5169072948	0.5037017512
293	0.517287234	0.5035777077
294	0.5170972644	0.5034826336
295	0.5169072948	0.5033480096
296	0.5174772036	0.5032771502
297	0.5178571429	0.5032256341
298	0.5180471125	0.5031219616
299	0.5180471125	0.5030032255
300	0.5180471125	0.5029200143
301	0.5186170213	0.5028184114
302	0.5184270517	0.502675416
303	0.5191869301	0.5025822216
304	0.5188069909	0.502445077
305	0.5191869301	0.5023062356
306	0.5189969605	0.5022045424
307	0.5186170213	0.5021029614
308	0.5197568389	0.5019919468
309	0.5197568389	0.501888245
310	0.5201367781	0.5017817629
311	0.5203267477	0.5017300036
312	0.5205167173	0.5016104228
313	0.5210866261	0.5015181667
314	0.5210866261	0.5014033801
315	0.5208966565	0.5013181866
316	0.5208966565	0.5012281673
317	0.5210866261	0.5011577213
318	0.5210866261	0.5010623286
319	0.5208966565	0.5009576813
320	0.5218465046	0.5008888879
321	0.5218465046	0.5007484736
322	0.5222264438	0.5006641623
323	0.5218465046	0.5006139643
324	0.5220364742	0.5005265663
325	0.5224164134	0.5004043288
326	0.5224164134	0.5003115919
327	0.522606383	0.5002428701
328	0.5227963526	0.5001556216
329	0.5231762918	0.5000381627
330	0.5237462006	0.4999346777
331	0.5237462006	0.4998319433
332	0.5237462006	0.4997437491
333	0.5241261398	0.499651592
334	0.5246960486	0.4995075393
335	0.5243161094	0.499421505
336	0.524506079	0.4993650148
337	0.5243161094	0.4992840771
338	0.5243161094	0.4992098659
339	0.5243161094	0.4991084271
340	0.5252659574	0.4990165555
341	0.5246960486	0.4989283275
342	0.5252659574	0.4988550187
343	0.5252659574	0.4987337583
344	0.5250759878	0.4986602937
345	0.5250759878	0.4986326176
346	0.5250759878	0.4985323835
347	0.5256458967	0.4984465186
348	0.5254559271	0.4983538037
349	0.5258358663	0.4982654628
350	0.5265957447	0.4981283269
351	0.5267857143	0.4980217887
352	0.5267857143	0.4979469397
353	0.5265957447	0.4978162203
354	0.5267857143	0.4977301931
355	0.5273556231	0.4976877933
356	0.5273556231	0.4975882138
357	0.5271656535	0.4975135003
358	0.5275455927	0.4973985881
359	0.5277355623	0.4973036336
360	0.5277355623	0.4972290906
361	0.5277355623	0.4971449119
362	0.5288753799	0.4970182723
363	0.5288753799	0.496910039
364	0.5294452888	0.4968366302
365	0.5296352584	0.4966829982
366	0.5294452888	0.4966116344
367	0.529825228	0.4965303761
368	0.5302051672	0.496449433
369	0.5300151976	0.4963329694
370	0.5300151976	0.4962634266
371	0.529825228	0.4961810142
372	0.5309650456	0.4960316853
373	0.5311550152	0.4959219244
374	0.5309650456	0.4958327124
375	0.5311550152	0.4957736085
376	0.530775076	0.4957117722
377	0.5311550152	0.4956140558
378	0.5315349544	0.4954818595
379	0.5313449848	0.4953457997
380	0.5319148936	0.495230974
381	0.5321048632	0.4951465513
382	0.5321048632	0.4950496116
383	0.531724924	0.4950039191
384	0.531724924	0.4949197794
385	0.531724924	0.494805005
386	0.5322948328	0.4947311317
387	0.5321048632	0.4946469298
388	0.5322948328	0.4945404408
389	0.5328647416	0.4944467895
390	0.532674772	0.49431916
391	0.5334346505	0.494244688
392	0.5334346505	0.494144242
393	0.5330547112	0.4940619811
394	0.5328647416	0.4939579809
395	0.5332446809	0.4938803351
396	0.5334346505	0.493766067
397	0.5334346505	0.4936972514
398	0.5336246201	0.4935893616
399	0.5334346505	0.4935599779
400	0.5336246201	0.4934966521
401	0.5340045593	0.4934205334
402	0.5345744681	0.4933652393
403	0.5351443769	0.4932517098
404	0.5351443769	0.4931388452
405	0.5355243161	0.4930379486
406	0.5359042553	0.4929752785
407	0.5360942249	0.4929051659
408	0.5359042553	0.4928518769
409	0.5360942249	0.4927295633
410	0.5368541033	0.4926193378
411	0.5376139818	0.4925397248
412	0.5376139818	0.4924669667
413	0.5378039514	0.4923595289
414	0.5381838906	0.4922781048
415	0.5381838906	0.4922067439
416	0.5387537994	0.4921125559
417	0.5385638298	0.4920345486
418	0.5383738602	0.491942312
419	0.5383738602	0.4918707397
420	0.5383738602	0.4917902914
421	0.5387537994	0.4917070273
422	0.5393237082	0.4916431615
423	0.5393237082	0.4915732177
424	0.5395136778	0.4914357073
425	0.539893617	0.491339067
426	0.5402735562	0.4912637473
427	0.5397036474	0.4911659899
428	0.5395136778	0.491084234
429	0.539893617	0.491018658
430	0.539893617	0.4909765966
431	0.539893617	0.4908646989
